timestamp,country,city,region,referrer,device
"2026-03-07T23:40:40.651Z","Australia","South Brisbane","Queensland","test-e2e","desktop"
"2026-03-07T23:43:13.468Z","Germany","Frankfurt am Main","Hesse","browser-test","desktop"
"2026-03-07T23:43:52.395Z","Italy","Codevigo","Veneto","https://conflict-terminal.xyz/","mobile"
"2026-03-08T14:31:21.171Z","Italy","Viverone","Piedmont","","desktop"
"2026-03-08T14:31:21.180Z","Italy","Viverone","Piedmont","","desktop"
"2026-03-08T14:32:10.759Z","United States","Atlanta","Georgia","","desktop"
"2026-03-08T14:32:10.762Z","United States","Atlanta","Georgia","","desktop"
"2026-03-08T14:35:23.131Z","Italy","Viverone","Piedmont","https://conflict-terminal.xyz/","desktop"
"2026-03-08T14:35:23.132Z","Italy","Viverone","Piedmont","https://conflict-terminal.xyz/","desktop"
